map
	ez_tower
end

value
	49.032,-78.309,-66.211,10.150,24.050,-490.950,0.000,-28.540,-1.830,-25.661,0,0,1,0,0,1,
	49.036,-78.309,-66.211,10.150,24.150,-489.350,0.000,-28.540,-1.830,-25.661,0,0,1,0,0,1,
	49.039,-78.309,-66.211,10.150,24.200,-488.050,0.000,-28.540,-1.830,-25.661,0,0,1,0,0,1,
	49.044,-78.309,-66.211,10.150,24.250,-486.700,0.000,-28.540,-1.830,-25.661,0,0,1,0,0,1,
	49.047,-78.939,-66.254,9.716,24.250,-485.350,0.000,-31.479,-2.150,-21.718,0,0,1,0,0,1,
	49.051,-78.939,-66.254,9.716,24.300,-484.050,0.000,-31.479,-2.150,-21.718,0,0,1,0,0,1,
	49.056,-78.939,-66.254,9.716,24.350,-482.100,0.000,-31.479,-2.150,-21.718,0,0,1,0,0,1,
	49.060,-78.939,-66.254,9.716,24.350,-480.800,0.000,-31.479,-2.150,-21.718,0,0,1,0,0,1,
	49.064,-78.939,-66.254,9.716,24.350,-479.850,0.000,-31.479,-2.150,-21.718,0,0,1,0,0,1,
	49.069,-79.614,-66.304,9.361,24.350,-478.300,0.000,-33.753,-2.470,-17.756,0,0,1,0,0,1,
	49.075,-79.614,-66.304,9.361,24.350,-475.850,0.000,-33.753,-2.470,-17.756,0,0,1,0,0,1,
	49.079,-79.614,-66.304,9.361,24.350,-474.700,0.000,-33.753,-2.470,-17.756,0,0,1,0,0,1,
	49.083,-79.614,-66.304,9.361,24.350,-473.600,0.000,-33.753,-2.470,-17.756,0,0,1,0,0,1,
	49.087,-80.322,-66.360,9.082,24.300,-472.500,0.000,-35.417,-2.790,-13.946,0,0,1,0,0,1,
